iter	Passed	Remaining
442	1261	9272
443	1263	9267
444	1266	9262
445	1268	9258
446	1271	9253
447	1274	9248
448	1276	9243
449	1279	9239
450	1282	9239
451	1285	9235
452	1287	9231
453	1290	9227
454	1293	9226
455	1296	9225
456	1299	9220
457	1301	9215
458	1304	9210
459	1306	9205
460	1309	9200
461	1311	9194
462	1314	9188
463	1317	9188
464	1319	9182
465	1322	9176
466	1325	9177
467	1328	9174
468	1331	9175
469	1334	9170
470	1337	9166
471	1341	9171
472	1343	9167
473	1346	9165
474	1349	9163
475	1352	9159
476	1355	9157
477	1357	9152
478	1360	9146
479	1362	9140
480	1364	9134
481	1367	9129
482	1369	9124
483	1372	9118
484	1374	9113
485	1377	9108
486	1379	9102
487	1382	9096
488	1384	9091
489	1387	9088
490	1390	9086
491	1393	9083
492	1395	9079
493	1398	9079
494	1401	9074
495	1403	9069
496	1406	9063
497	1408	9058
498	1411	9054
499	1413	9049
500	1416	9043
501	1418	9039
502	1421	9035
503	1423	9029
504	1426	9027
505	1429	9023
506	1432	9021
507	1435	9019
508	1438	9018
509	1441	9013
510	1443	9010
511	1446	9006
512	1449	9002
513	1451	8997
514	1454	8994
515	1456	8988
516	1459	8983
517	1461	8979
518	1464	8973
519	1466	8968
520	1469	8965
521	1471	8960
522	1474	8956
523	1476	8950
524	1479	8948
525	1482	8943
526	1485	8941
527	1487	8936
528	1490	8931
529	1492	8927
530	1495	8925
531	1498	8923
532	1501	8924
533	1505	8923
534	1508	8921
535	1510	8918
536	1513	8915
537	1516	8914
538	1519	8911
539	1522	8909
540	1525	8909
541	1528	8908
542	1531	8906
543	1534	8905
544	1537	8903
545	1540	8900
546	1543	8897
547	1546	8894
548	1549	8891
549	1551	8888
550	1554	8886
551	1557	8883
552	1560	8878
553	1562	8873
554	1565	8868
555	1567	8865
556	1570	8862
557	1573	8859
558	1576	8859
559	1580	8859
560	1582	8856
561	1586	8856
562	1588	8851
563	1591	8847
564	1593	8843
565	1596	8839
566	1599	8835
567	1601	8832
568	1604	8828
569	1607	8825
570	1609	8821
571	1612	8819
572	1615	8814
573	1618	8815
574	1621	8812
575	1625	8815
576	1627	8810
577	1630	8805
578	1632	8800
579	1636	8802
580	1639	8799
581	1642	8796
582	1644	8793
583	1647	8790
584	1650	8789
585	1653	8786
586	1656	8782
587	1658	8779
588	1661	8777
589	1664	8776
590	1668	8774
591	1670	8771
592	1673	8769
593	1676	8768
594	1680	8769
595	1683	8766
596	1685	8762
597	1688	8760
598	1691	8757
599	1694	8754
600	1697	8751
601	1700	8750
602	1704	8751
603	1706	8747
604	1709	8743
605	1711	8739
606	1714	8736
607	1716	8731
608	1719	8727
609	1722	8723
610	1724	8719
611	1727	8716
612	1730	8712
613	1732	8709
614	1735	8706
615	1738	8701
616	1740	8699
617	1743	8696
618	1746	8694
619	1750	8694
620	1753	8695
621	1757	8695
622	1761	8699
623	1763	8695
624	1766	8691
625	1768	8686
626	1772	8688
627	1775	8685
628	1778	8681
629	1780	8677
630	1783	8672
631	1785	8669
632	1788	8666
633	1791	8664
634	1794	8664
635	1797	8660
636	1800	8655
637	1802	8652
638	1805	8649
639	1808	8647
640	1811	8646
641	1814	8643
642	1817	8641
643	1820	8637
644	1822	8634
645	1825	8629
646	1828	8627
647	1830	8622
648	1833	8618
649	1835	8614
650	1838	8611
651	1841	8607
652	1843	8604
653	1846	8599
654	1849	8595
655	1851	8592
656	1854	8588
657	1856	8584
658	1859	8579
659	1861	8576
660	1864	8573
661	1867	8568
662	1869	8563
663	1872	8559
664	1874	8556
665	1877	8554
666	1880	8549
667	1882	8545
668	1886	8547
669	1889	8544
670	1891	8540
671	1894	8537
672	1897	8532
673	1899	8528
674	1901	8523
675	1904	8518
676	1906	8513
677	1909	8509
678	1911	8506
679	1914	8504
680	1917	8499
681	1920	8497
682	1923	8494
683	1926	8493
684	1928	8489
685	1931	8484
686	1933	8479
687	1935	8475
688	1938	8470
689	1940	8465
690	1943	8461
691	1945	8456
692	1947	8452
693	1951	8450
694	1953	8448
695	1956	8444
696	1959	8441
697	1962	8439
698	1964	8436
699	1967	8431
700	1969	8427
701	1972	8424
702	1975	8420
703	1977	8415
704	1979	8411
705	1982	8408
706	1985	8405
707	1988	8402
708	1990	8398
709	1993	8395
710	1996	8395
711	1999	8392
712	2002	8389
713	2005	8386
714	2007	8381
715	2010	8378
716	2012	8374
717	2015	8371
718	2018	8370
719	2022	8370
720	2025	8366
721	2027	8363
722	2030	8362
723	2033	8358
724	2036	8354
725	2038	8351
726	2041	8347
727	2043	8344
728	2046	8339
729	2048	8335
730	2052	8334
731	2055	8332
732	2058	8330
733	2060	8326
734	2063	8323
735	2065	8319
736	2068	8315
737	2070	8311
738	2073	8308
739	2076	8304
740	2078	8299
741	2080	8295
742	2083	8292
743	2085	8287
744	2088	8284
745	2091	8281
746	2093	8277
747	2096	8274
748	2099	8270
749	2101	8267
750	2105	8268
751	2108	8266
752	2111	8262
753	2113	8258
754	2116	8254
755	2118	8251
756	2121	8249
757	2124	8245
758	2126	8241
759	2129	8237
760	2131	8233
761	2134	8230
762	2137	8227
763	2140	8226
764	2143	8225
765	2146	8222
766	2149	8220
767	2152	8216
768	2154	8213
769	2157	8208
770	2159	8204
771	2162	8202
772	2165	8198
773	2167	8195
774	2170	8192
775	2173	8188
776	2176	8188
777	2180	8187
778	2182	8185
779	2185	8182
780	2188	8180
781	2191	8177
782	2194	8174
783	2196	8170
784	2199	8167
785	2202	8163
786	2204	8160
787	2207	8156
788	2209	8153
789	2212	8150
790	2215	8147
791	2217	8143
792	2221	8142
793	2224	8139
794	2227	8138
795	2230	8136
796	2233	8135
797	2236	8131
798	2238	8127
799	2241	8123
800	2243	8120
801	2246	8117
802	2248	8113
803	2252	8112
804	2254	8109
805	2258	8107
806	2260	8104
807	2263	8100
808	2265	8097
809	2268	8093
810	2272	8095
811	2275	8093
812	2278	8092
813	2281	8090
814	2284	8087
815	2287	8086
816	2290	8082
817	2293	8079
818	2296	8076
819	2298	8073
820	2301	8069
821	2303	8066
822	2306	8063
823	2310	8063
824	2313	8061
825	2315	8058
826	2318	8055
827	2321	8052
828	2324	8048
