iter	Logloss
0	0.6819237917
1	0.671860043
2	0.6627133205
3	0.6531264673
4	0.6439120676
5	0.6345121981
6	0.6275709034
7	0.6200770637
8	0.613210942
9	0.6063939825
10	0.6000524789
11	0.5945645864
12	0.5893771286
13	0.5842506811
14	0.5799176317
15	0.5747114251
16	0.5708332059
17	0.5675879527
18	0.5635084575
19	0.559000698
20	0.5554019655
21	0.5516761281
22	0.5482953444
23	0.5454716526
24	0.5432325629
25	0.5399708053
26	0.5368872354
27	0.5341418891
28	0.531506914
29	0.5291416678
30	0.5265483865
31	0.5241523108
32	0.5221025779
33	0.5201483393
34	0.5183845983
35	0.5168455058
36	0.5153562126
37	0.5138185503
38	0.5117513976
39	0.5098109629
40	0.5081445161
41	0.5064783963
42	0.5051077709
43	0.5038741678
44	0.502469617
45	0.5014597759
46	0.5001724662
47	0.4990986142
48	0.4978195732
49	0.4968407012
50	0.4958921166
51	0.4947300647
52	0.4936734188
53	0.4928545043
54	0.4920118652
55	0.4910697203
56	0.4899684938
57	0.4896111367
58	0.4886985034
59	0.4882652266
60	0.4876790288
61	0.4867130507
62	0.4860294151
63	0.4850842105
64	0.4844908749
65	0.4836908268
66	0.4830497063
67	0.4824431782
68	0.4815155956
69	0.4807856976
70	0.4798759585
71	0.4791067946
72	0.4786678092
73	0.4782060224
74	0.477432887
75	0.4768682022
76	0.4762017839
77	0.4756561448
78	0.4751608714
79	0.4748930743
80	0.4743531466
81	0.4739333829
82	0.4734802899
83	0.472810692
84	0.4723475844
85	0.4716014571
86	0.4710308187
87	0.4706290435
88	0.4701988041
89	0.4698752137
90	0.469566149
91	0.4691781893
92	0.4688311815
93	0.4685018339
94	0.4682703723
95	0.4680475138
96	0.4676716961
97	0.4672375281
98	0.466892524
99	0.4664815315
100	0.4659425408
101	0.4656140022
102	0.4653791676
103	0.4650870868
104	0.4646224611
105	0.4642707024
106	0.4637825944
107	0.4631561437
108	0.462713078
109	0.4623253508
110	0.4622385695
111	0.4618451665
112	0.4614661963
113	0.4611033867
114	0.4608868352
115	0.4606055676
116	0.4603243476
117	0.4600345319
118	0.4597318896
119	0.4593164974
120	0.4590051623
121	0.4586620646
122	0.4582675982
123	0.4579814992
124	0.4577146471
125	0.4574401197
126	0.4571705571
127	0.4568095469
128	0.4566169852
129	0.4562835024
130	0.4559850201
131	0.4557677108
132	0.4555298233
133	0.4553961877
134	0.4552593258
135	0.4549775113
136	0.4546003928
137	0.4543717892
138	0.4542180955
139	0.4539587308
140	0.453746445
141	0.4534148454
142	0.4532417115
143	0.4529498978
144	0.4526587288
145	0.4525619873
146	0.4522372735
147	0.4520960215
148	0.4518779495
149	0.4515053809
150	0.4512111129
151	0.45098419
152	0.4507376498
153	0.4505509158
154	0.4503336172
155	0.4500358965
156	0.4500315384
157	0.4497989252
158	0.4495962542
159	0.4494349046
160	0.4492375229
161	0.4490391365
162	0.4488519919
163	0.4486669449
164	0.4484357127
165	0.4482738152
166	0.4480156896
167	0.4478821111
168	0.4476417984
169	0.4472647621
170	0.4469435199
171	0.4466720561
172	0.4464551489
173	0.4461371411
174	0.4458634208
175	0.4457502861
176	0.4456722032
177	0.4456153351
178	0.4454767246
179	0.4452832432
180	0.4449628175
181	0.4448571901
182	0.4447314435
183	0.4443742607
184	0.4441772403
185	0.4439195849
186	0.4437544078
187	0.4436058366
188	0.4434855117
189	0.4433009436
190	0.4431382922
191	0.4429951528
192	0.4427893419
193	0.4425564552
194	0.4425123003
195	0.4421664935
196	0.4419339065
197	0.4417960633
198	0.4416644836
199	0.4416469126
200	0.4412401387
201	0.4409845762
202	0.4406820352
203	0.4406808878
204	0.4405340352
205	0.4403245461
206	0.4401753391
207	0.4399479317
208	0.439881743
209	0.4397202231
210	0.4396189317
211	0.4394612062
212	0.4393046474
213	0.4392562638
214	0.439101293
215	0.4390371846
216	0.4389037172
217	0.4387943505
218	0.4387065121
219	0.4386448134
220	0.438476357
221	0.4383779003
222	0.4381800286
223	0.4379661026
224	0.4378622924
225	0.4377241097
226	0.4374393429
227	0.43733327
228	0.4371166118
229	0.4369238445
230	0.4368572953
231	0.4367907526
232	0.4365843218
233	0.4361979752
234	0.4359695553
235	0.4357899729
236	0.4356762993
237	0.4354532109
238	0.4351850525
239	0.435057031
240	0.4348744615
241	0.434767844
242	0.4345333432
243	0.4342690114
244	0.4341170059
245	0.4339957392
246	0.4338627007
247	0.4338384173
248	0.4337587928
249	0.4335610007
250	0.4334376743
251	0.4333281624
252	0.4331715094
253	0.4329794991
254	0.4328532835
255	0.4327293265
256	0.432547134
257	0.4324716648
258	0.4323810255
259	0.4322775894
260	0.4321419383
261	0.4318845852
262	0.4317088075
263	0.4315837703
264	0.4314632625
265	0.4313276757
266	0.4312204567
267	0.431161448
268	0.4309778994
269	0.4307924114
270	0.4305616127
271	0.4303573824
272	0.4302631193
273	0.4301524479
274	0.4300439632
275	0.4297830239
276	0.4295600959
277	0.4292852386
278	0.429077947
279	0.4289788747
280	0.4288582678
281	0.4287711097
282	0.4287503095
283	0.4286318768
284	0.4284487056
285	0.428351643
286	0.4283507618
287	0.4282651842
288	0.4280589163
289	0.4280469863
290	0.4279318895
291	0.4278028239
292	0.427650173
293	0.4274964583
294	0.42737292
295	0.4271469552
296	0.4270503265
297	0.4269736216
298	0.4267764578
299	0.4266615786
300	0.4265260946
301	0.4264338702
302	0.4262541012
303	0.4261569249
304	0.4259488844
305	0.4258791659
306	0.4256137666
307	0.4253450247
308	0.4252041819
309	0.4250780574
310	0.4248944258
311	0.4248333264
312	0.4247442419
313	0.4244562842
314	0.4242776456
315	0.4240573073
316	0.4240220053
317	0.4238881276
318	0.4237046003
319	0.4236008965
320	0.4234005112
321	0.423188424
322	0.4230476116
323	0.4230332133
324	0.4228623556
325	0.4226980458
326	0.4225467627
327	0.4223377127
328	0.4221736942
329	0.4219458254
330	0.4217477114
331	0.4216578872
332	0.4214250642
333	0.4212641315
334	0.4211260929
335	0.4209677717
336	0.4208102125
337	0.4207135181
338	0.4205550878
339	0.4203548768
340	0.4201136268
341	0.4199296319
342	0.4198335927
343	0.4196604785
344	0.4193911144
345	0.4192859084
346	0.4190940017
347	0.4189211551
348	0.418738551
349	0.4186264972
350	0.418459365
351	0.4182755202
352	0.4181611545
353	0.4180815491
354	0.4179527277
355	0.417883592
356	0.4177590784
357	0.4176214419
358	0.4174496973
359	0.4173041665
360	0.417188948
361	0.4170747495
362	0.4168969664
363	0.4166097521
364	0.4164138501
365	0.4163703473
366	0.4162596539
367	0.4161467604
368	0.4160609578
369	0.4158773616
370	0.4157698056
371	0.4155607873
372	0.4154078844
373	0.4153437498
374	0.4153067234
375	0.4151661419
376	0.4150009749
377	0.4148252187
378	0.4146856755
379	0.4145834632
380	0.4143295623
381	0.4140885146
382	0.4139759271
383	0.4137863916
384	0.4135737642
385	0.4134283659
386	0.4131254818
387	0.4129872531
388	0.4128596621
389	0.4127377564
390	0.4126582
391	0.4124925991
392	0.4123384233
393	0.4122444181
394	0.4119915799
395	0.4117250421
396	0.4115965686
397	0.4114964405
398	0.4113572324
399	0.4112933039
400	0.4112414784
401	0.4111020963
402	0.4109683932
403	0.4107410353
404	0.4105126608
405	0.410323294
406	0.4100573573
407	0.4098884165
408	0.4097342144
409	0.4096561052
410	0.4095612085
411	0.4093741846
412	0.4092159023
413	0.4090651304
414	0.4089344568
415	0.4087506255
416	0.4085986294
417	0.4083950228
418	0.4082961253
419	0.4082182652
420	0.4081209018
421	0.4080075009
422	0.4077991838
423	0.4075901784
424	0.4073103184
425	0.4071857322
426	0.4070581527
427	0.4068416796
428	0.4067006349
429	0.4065032213
430	0.4063516838
431	0.4061652515
432	0.4059466354
433	0.405814223
434	0.4057047706
435	0.4053856858
436	0.4052672977
437	0.4051807289
438	0.405117221
439	0.4049619854
440	0.4048537601
441	0.4047105172
442	0.4046334903
443	0.40450362
444	0.4044561611
445	0.4043477953
446	0.4042616248
447	0.4041844887
448	0.4039284956
449	0.4037916821
450	0.403673918
451	0.4035563972
452	0.4033021202
453	0.4031330954
454	0.4029650802
455	0.4029137786
456	0.4027912075
457	0.4027092433
458	0.4025263879
459	0.4024307214
460	0.4023288442
461	0.402070308
462	0.4019666712
463	0.4017743209
464	0.4016875064
465	0.4014985807
466	0.4013634372
467	0.4012024624
468	0.401073547
469	0.4009507145
470	0.400781696
471	0.4006756099
472	0.4006222458
473	0.4005059865
474	0.4004128123
475	0.4002776356
476	0.4001227137
477	0.4000389594
478	0.3998382287
479	0.3997566966
480	0.3996209828
481	0.3995282644
482	0.3994131784
483	0.3992011307
484	0.3991135001
485	0.3989818651
486	0.3987928974
487	0.3986211695
488	0.3984839651
489	0.3983427903
490	0.3982628269
491	0.3981821801
492	0.3980991773
493	0.3979692649
494	0.3977880209
495	0.3976520016
496	0.3974892643
497	0.3973114406
498	0.3971662308
499	0.3969553174
500	0.3968342787
501	0.3967789192
502	0.3966487998
503	0.3964925268
504	0.3963730456
505	0.3962604633
506	0.3960404093
507	0.3958966277
508	0.3958104706
509	0.3957386497
510	0.3955944143
511	0.3955010151
512	0.3953207134
513	0.3951932015
514	0.3950737629
515	0.3949391125
516	0.3948055331
517	0.3946866131
518	0.3945095369
519	0.3943850551
520	0.3942905552
521	0.3940973635
522	0.3939616733
523	0.3938349126
524	0.3937077124
525	0.3935548596
526	0.3933717232
527	0.3932073903
528	0.3931010346
529	0.3928888315
530	0.3927819373
531	0.3926066429
532	0.392486104
533	0.392361227
534	0.3922576787
535	0.3921471857
536	0.3920549812
537	0.3918762003
538	0.3917295791
539	0.3915375418
540	0.3914049735
541	0.391268245
542	0.3911675253
543	0.3910128099
544	0.3908793499
545	0.3907296176
546	0.3905290648
547	0.3904230118
548	0.3903555488
549	0.3902251311
550	0.3900728221
551	0.3898870116
552	0.3897361405
553	0.3896045261
554	0.389427893
555	0.3893437661
556	0.3892913702
557	0.389188819
558	0.3890163903
559	0.3888611701
560	0.3887333394
561	0.3886233553
562	0.3884962436
563	0.3883726378
564	0.3882053293
565	0.3881389572
566	0.3880013182
567	0.387912228
568	0.3877009607
569	0.3874867151
570	0.3873594404
571	0.3871109899
572	0.3869027778
573	0.3868192152
574	0.3867024859
575	0.3866283556
576	0.3865383011
577	0.3864845628
578	0.3863417983
579	0.3861238031
580	0.3860749307
581	0.3859589445
582	0.3857440216
583	0.3855898855
584	0.3854706169
585	0.3853604029
586	0.385191568
587	0.385105488
588	0.3849990138
589	0.3849232407
590	0.3848465979
591	0.384663493
592	0.384536557
593	0.3843880951
594	0.3842201778
595	0.38413697
596	0.3840683292
597	0.3839915486
598	0.3838057914
599	0.3836591107
600	0.3835173993
601	0.3834110558
602	0.3833633714
603	0.3832357289
604	0.383147526
605	0.3829791889
606	0.3828847505
607	0.3827584983
608	0.3825782332
609	0.3824684876
610	0.3823797739
611	0.3822262795
612	0.3821334472
613	0.3820304043
614	0.381816166
615	0.381630821
616	0.3815325461
617	0.3813444822
618	0.3812766668
619	0.38116781
620	0.381029302
621	0.3809507436
622	0.3808870182
623	0.3807563046
624	0.3805599286
625	0.380492494
626	0.380351739
627	0.3800979344
628	0.3800372861
629	0.3798716805
630	0.3797829703
631	0.3796887246
632	0.379524637
633	0.3794192015
634	0.3793223723
635	0.3790491496
636	0.3789101542
637	0.3788071668
638	0.3786358492
639	0.3784959786
640	0.3784002386
641	0.3782513804
642	0.3780919605
643	0.3779868397
644	0.3779419946
645	0.3778460143
646	0.3777467641
647	0.3776862029
648	0.377649098
649	0.3774784876
650	0.3772844608
651	0.3771999221
652	0.3770225743
653	0.3769032884
654	0.3767136349
655	0.3765644122
656	0.3763746156
657	0.3762873746
658	0.3761688564
659	0.3760685124
660	0.3760165923
661	0.3758367203
662	0.3757462574
663	0.3756828883
664	0.3754553099
665	0.3753856657
666	0.3752380465
667	0.3751010146
668	0.3750184539
669	0.3749390169
670	0.3749059851
671	0.3748451856
672	0.3747703607
673	0.3746014849
674	0.3745073671
675	0.3743847665
676	0.3743285825
677	0.3742891913
678	0.3742081783
679	0.3741385191
680	0.374013858
681	0.3738987372
682	0.3737238415
683	0.3736120138
684	0.3735069159
685	0.3734058311
686	0.3732651541
687	0.3731803119
688	0.3730914785
689	0.372908513
690	0.3728379443
691	0.3727129962
692	0.3725238822
693	0.3724558393
694	0.3723501942
695	0.3722651001
696	0.3721987019
697	0.3721268454
698	0.3719844692
699	0.3717384781
700	0.3716550651
701	0.3715739986
702	0.371471743
703	0.3713160778
704	0.3712002295
705	0.3710943596
706	0.3708890281
707	0.3707797212
708	0.3706651903
709	0.3705139499
710	0.3704021067
711	0.3703038498
712	0.3702396249
713	0.3701038191
714	0.3699905113
715	0.3698439326
716	0.3697509029
717	0.3696002978
718	0.3695527963
719	0.3694829101
720	0.3693872526
721	0.3693182569
722	0.3692554498
723	0.3691328156
724	0.3690460365
725	0.3689542549
726	0.368902126
727	0.3688383137
728	0.3687562249
729	0.3686652837
730	0.368523294
731	0.3684131389
732	0.3682295844
733	0.3681383072
734	0.3680827007
735	0.3679761414
736	0.3678299576
737	0.3677407643
738	0.3676320272
